Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GBOVER,GBUNDER,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,w,x,y,z,
B1,06/08/04,Mouscron,Anderlecht,2,0,H,1,0,H,3.5,3.25,1.9,3.25,3.4,1.95,3.6,3.25,1.9,3.5,3.1,1.9,3.75,3.5,1.727,3.6,3.25,1.85,3.8,3.5,1.72,1.65,2,1.71,1.9,0.5,,,,,,,,
B1,07/08/04,Beveren,Club Brugge,1,1,D,1,1,D,4,3.5,1.72,4.75,3.6,1.65,4.2,3.5,1.7,5.4,3.8,1.45,5,3.5,1.571,4,3.4,1.73,4.33,3.4,1.66,1.6,2.1,2.05,1.6,0.5,,,,,,,,
B1,07/08/04,Cercle Brugge,Lokeren,2,2,D,1,1,D,2.37,3.2,2.62,2.3,3.25,2.7,2.4,3.15,2.65,2.5,3,2.5,2.4,3.25,2.5,2.4,3.1,2.6,2.6,3.1,2.4,1.71,1.95,2.4,1.44,-0.5,,,,,,,,
B1,07/08/04,FC Brussels,Genk,0,1,A,0,0,D,3,3.25,2.1,3.2,3.35,2,3.35,3.2,2,3.1,3,2.1,,,,3.1,3.1,2.1,3.2,3.2,2,1.71,1.95,1.64,2,0.5,,,,,,,,
B1,07/08/04,Gent,Germinal,0,1,A,0,0,D,2,3.25,3.25,2.1,3.25,3,1.95,3.2,3.5,1.9,3.1,3.5,1.909,3.2,3.5,1.91,3.2,3.5,1.8,3.4,3.6,1.83,1.83,1.95,1.67,-0.5,,,,,,,,
B1,07/08/04,Lierse,Standard,1,1,D,0,1,A,2.8,3.25,2.2,3,3.3,2.1,2.85,3.2,2.25,2.7,3,2.3,2.75,3.2,2.25,2.8,3.1,2.25,2.87,3.1,2.2,1.71,1.95,1.51,2.25,0.5,,,,,,,,
B1,07/08/04,St Truiden,Bergen,0,0,D,0,0,D,1.83,3.25,3.75,2,3.35,3.2,1.8,3.3,4,1.9,3.1,3.5,1.8,3.25,3.75,1.91,3.2,3.5,1.8,3.3,3.75,1.79,1.85,1.8,1.81,-0.5,,,,,,,,
B1,08/08/04,Charleroi,Louvieroise,2,5,A,1,3,A,2.3,3.2,2.7,2.3,3.25,2.7,2.25,3.1,2.9,2.2,3,2.9,2.25,3.2,2.75,2.25,3.1,2.8,2.15,3.2,2.9,1.83,1.83,2.25,1.5,-0.5,,,,,,,,
B1,08/08/04,Oostende,Westerlo,3,3,D,0,2,A,2.7,3.2,2.3,2.9,3.2,2.2,2.65,3.25,2.35,2.6,3,2.4,2.75,3.25,2.2,2.75,3.2,2.25,2.5,3.25,2.4,1.83,1.83,1.46,2.35,0.5,,,,,,,,
B1,13/08/04,Standard,Charleroi,1,2,A,1,2,A,1.33,4.33,8,1.3,4.5,8.25,1.33,4.5,7.25,1.3,4.2,8,1.3,4.33,8,1.33,4.33,7,1.33,4.33,7,1.5,2.3,1.33,2.78,-0.5,,,,,,,,
B1,14/08/04,Anderlecht,St Truiden,2,1,H,0,0,D,1.22,5.5,8.5,1.3,4.5,8.25,1.25,5,9,1.33,4,7.5,1.25,4.5,10,1.22,5,9.5,1.25,4.5,10,,,1.25,3.21,-0.5,,,,,,,,
B1,14/08/04,Genk,Mouscron,0,0,D,0,0,D,1.8,3.25,4,1.85,3.35,3.65,1.7,3.3,4.5,1.75,3.2,4,1.67,3.25,4.5,1.8,3.25,3.8,1.72,3.2,4.33,1.71,1.95,1.62,2.02,-0.5,,,,,,,,
B1,14/08/04,Lokeren,FC Brussels,1,0,H,0,0,D,1.72,3.25,4.33,1.7,3.45,4.3,1.7,3.3,4.5,1.7,3.2,4.2,1.57,3.5,5,1.62,3.4,4.75,1.7,3.3,4.33,1.71,1.95,1.7,1.9,-0.5,,,,,,,,
B1,14/08/04,Louvieroise,Cercle Brugge,2,1,H,0,1,A,1.66,3.4,4.33,1.75,3.4,4.05,1.75,3.3,4.25,1.8,3.1,3.8,1.73,3.2,4.33,1.75,3.25,4,1.72,3.4,4,1.83,1.83,1.75,1.86,-0.5,,,,,,,,
B1,14/08/04,Westerlo,Lierse,2,1,H,2,0,H,1.83,3.25,3.75,1.9,3.3,3.5,1.91,3.25,3.55,2,3.1,3.2,1.91,3.2,3.5,1.91,3.2,3.5,2.05,3.3,3,1.75,1.9,1.91,1.7,-0.5,,,,,,,,
B1,15/08/04,Bergen,Beveren,2,2,D,2,1,H,2.2,3.25,2.75,2,3.25,3.25,2.1,3.25,3.05,1.85,3.2,3.5,2,3.2,3.2,2.2,3.1,2.88,2.1,3.2,3,1.83,1.83,2.1,1.57,-0.5,,,,,,,,
